ticker,datetime,open,high,low,close,volume,vwap,ema9,ema20,day_change_pct,gap_pct,float_m,premarket_volume,relative_volume,above_vwap,catalyst,catalyst_quality,pullback_quality,spider_score,quality,setup_status,entry,stop,target_1r,target_2r,room_to_resistance_r,coach_note,spread_pct,premarket_high,previous_day_high
SPDR,2026-07-20 09:30:00,8.06,8.13,8.03,8.1,759567,8.1,8.1,8.1,0.0,38,9.8,3100000,7.8,True,Major government contract,Strong,Excellent,93,A+,First Pullback Confirmed,8.65,8.46,8.84,9.03,3.4,Highest-quality setup with strong catalyst and clean structure.,0.18,8.74,7.86
SPDR,2026-07-20 09:31:00,8.1,8.21,8.07,8.2,953823,8.15,8.12,8.11,1.2,38,9.8,3100000,7.8,True,Major government contract,Strong,Excellent,93,A+,First Pullback Confirmed,8.65,8.46,8.84,9.03,3.4,Highest-quality setup with strong catalyst and clean structure.,0.18,8.74,7.86
SPDR,2026-07-20 09:32:00,8.2,8.32,8.15,8.31,767903,8.2,8.16,8.13,2.6,38,9.8,3100000,7.8,True,Major government contract,Strong,Excellent,93,A+,First Pullback Confirmed,8.65,8.46,8.84,9.03,3.4,Highest-quality setup with strong catalyst and clean structure.,0.18,8.74,7.86
SPDR,2026-07-20 09:33:00,8.31,8.42,8.24,8.4,864338,8.25,8.21,8.15,3.7,38,9.8,3100000,7.8,True,Major government contract,Strong,Excellent,93,A+,First Pullback Confirmed,8.65,8.46,8.84,9.03,3.4,Highest-quality setup with strong catalyst and clean structure.,0.18,8.74,7.86
SPDR,2026-07-20 09:34:00,8.4,8.47,8.36,8.46,836503,8.29,8.26,8.18,4.4,38,9.8,3100000,7.8,True,Major government contract,Strong,Excellent,93,A+,First Pullback Confirmed,8.65,8.46,8.84,9.03,3.4,Highest-quality setup with strong catalyst and clean structure.,0.18,8.74,7.86
SPDR,2026-07-20 09:35:00,8.46,8.57,8.41,8.54,740022,8.33,8.31,8.22,5.4,38,9.8,3100000,7.8,True,Major government contract,Strong,Excellent,93,A+,First Pullback Confirmed,8.65,8.46,8.84,9.03,3.4,Highest-quality setup with strong catalyst and clean structure.,0.18,8.74,7.86
SPDR,2026-07-20 09:36:00,8.54,8.64,8.48,8.59,648650,8.36,8.37,8.25,6.1,38,9.8,3100000,7.8,True,Major government contract,Strong,Excellent,93,A+,First Pullback Confirmed,8.65,8.46,8.84,9.03,3.4,Highest-quality setup with strong catalyst and clean structure.,0.18,8.74,7.86
SPDR,2026-07-20 09:37:00,8.59,8.74,8.57,8.7,769090,8.4,8.43,8.29,7.4,38,9.8,3100000,7.8,True,Major government contract,Strong,Excellent,93,A+,First Pullback Confirmed,8.65,8.46,8.84,9.03,3.4,Highest-quality setup with strong catalyst and clean structure.,0.18,8.74,7.86
SPDR,2026-07-20 09:38:00,8.7,8.72,8.67,8.71,288228,8.41,8.49,8.33,7.5,38,9.8,3100000,7.8,True,Major government contract,Strong,Excellent,93,A+,First Pullback Confirmed,8.65,8.46,8.84,9.03,3.4,Highest-quality setup with strong catalyst and clean structure.,0.18,8.74,7.86
SPDR,2026-07-20 09:39:00,8.71,8.76,8.58,8.63,220588,8.42,8.52,8.36,6.6,38,9.8,3100000,7.8,True,Major government contract,Strong,Excellent,93,A+,First Pullback Confirmed,8.65,8.46,8.84,9.03,3.4,Highest-quality setup with strong catalyst and clean structure.,0.18,8.74,7.86
