datetime,symbol,price,change_pct,market_bias,volatility_regime,market_breadth,risk_mode
2026-07-20 09:30:00,SPY,620.3,0.35,Bullish,Normal,Positive,Standard
2026-07-20 09:33:00,SPY,620.26,0.35,Bullish,Normal,Positive,Standard
2026-07-20 09:36:00,SPY,620.79,0.35,Bullish,Normal,Positive,Standard
2026-07-20 09:39:00,SPY,620.14,0.35,Bullish,Normal,Positive,Standard
2026-07-20 09:42:00,SPY,620.66,0.35,Bullish,Normal,Positive,Standard
2026-07-20 09:45:00,SPY,620.49,0.35,Bullish,Normal,Positive,Standard
2026-07-20 09:48:00,SPY,621.15,0.35,Bullish,Normal,Positive,Standard
2026-07-20 09:51:00,SPY,621.22,0.35,Bullish,Normal,Positive,Standard
2026-07-20 09:54:00,SPY,620.43,0.35,Bullish,Normal,Positive,Standard
2026-07-20 09:57:00,SPY,620.79,0.35,Bullish,Normal,Positive,Standard
2026-07-20 10:00:00,SPY,621.31,0.35,Bullish,Normal,Positive,Standard
2026-07-20 10:03:00,SPY,621.45,0.35,Bullish,Normal,Positive,Standard
2026-07-20 10:06:00,SPY,621.55,0.35,Bullish,Normal,Positive,Standard
2026-07-20 10:09:00,SPY,621.47,0.35,Bullish,Normal,Positive,Standard
2026-07-20 10:12:00,SPY,621.71,0.35,Bullish,Normal,Positive,Standard
2026-07-20 10:15:00,SPY,621.88,0.35,Bullish,Normal,Positive,Standard
2026-07-20 10:18:00,SPY,621.81,0.35,Bullish,Normal,Positive,Standard
2026-07-20 10:21:00,SPY,622.2,0.35,Bullish,Normal,Positive,Standard
2026-07-20 10:24:00,SPY,621.5,0.35,Bullish,Normal,Positive,Standard
2026-07-20 10:27:00,SPY,622.33,0.35,Bullish,Normal,Positive,Standard
2026-07-20 09:30:00,QQQ,554.77,0.62,Bullish,Normal,Positive,Standard
2026-07-20 09:33:00,QQQ,555.39,0.62,Bullish,Normal,Positive,Standard
2026-07-20 09:36:00,QQQ,555.31,0.62,Bullish,Normal,Positive,Standard
2026-07-20 09:39:00,QQQ,555.35,0.62,Bullish,Normal,Positive,Standard
2026-07-20 09:42:00,QQQ,555.81,0.62,Bullish,Normal,Positive,Standard
2026-07-20 09:45:00,QQQ,555.7,0.62,Bullish,Normal,Positive,Standard
2026-07-20 09:48:00,QQQ,555.88,0.62,Bullish,Normal,Positive,Standard
2026-07-20 09:51:00,QQQ,555.92,0.62,Bullish,Normal,Positive,Standard
2026-07-20 09:54:00,QQQ,556.44,0.62,Bullish,Normal,Positive,Standard
2026-07-20 09:57:00,QQQ,556.74,0.62,Bullish,Normal,Positive,Standard
2026-07-20 10:00:00,QQQ,557.04,0.62,Bullish,Normal,Positive,Standard
2026-07-20 10:03:00,QQQ,556.96,0.62,Bullish,Normal,Positive,Standard
2026-07-20 10:06:00,QQQ,557.41,0.62,Bullish,Normal,Positive,Standard
2026-07-20 10:09:00,QQQ,557.36,0.62,Bullish,Normal,Positive,Standard
2026-07-20 10:12:00,QQQ,557.51,0.62,Bullish,Normal,Positive,Standard
2026-07-20 10:15:00,QQQ,557.84,0.62,Bullish,Normal,Positive,Standard
2026-07-20 10:18:00,QQQ,558.13,0.62,Bullish,Normal,Positive,Standard
2026-07-20 10:21:00,QQQ,558.0,0.62,Bullish,Normal,Positive,Standard
2026-07-20 10:24:00,QQQ,558.21,0.62,Bullish,Normal,Positive,Standard
2026-07-20 10:27:00,QQQ,558.41,0.62,Bullish,Normal,Positive,Standard
2026-07-20 09:30:00,IWM,230.01,-0.15,Bullish,Normal,Positive,Standard
2026-07-20 09:33:00,IWM,229.9,-0.15,Bullish,Normal,Positive,Standard
2026-07-20 09:36:00,IWM,230.06,-0.15,Bullish,Normal,Positive,Standard
2026-07-20 09:39:00,IWM,229.91,-0.15,Bullish,Normal,Positive,Standard
2026-07-20 09:42:00,IWM,229.97,-0.15,Bullish,Normal,Positive,Standard
2026-07-20 09:45:00,IWM,229.83,-0.15,Bullish,Normal,Positive,Standard
2026-07-20 09:48:00,IWM,229.92,-0.15,Bullish,Normal,Positive,Standard
2026-07-20 09:51:00,IWM,229.91,-0.15,Bullish,Normal,Positive,Standard
2026-07-20 09:54:00,IWM,229.82,-0.15,Bullish,Normal,Positive,Standard
2026-07-20 09:57:00,IWM,230.02,-0.15,Bullish,Normal,Positive,Standard
2026-07-20 10:00:00,IWM,229.85,-0.15,Bullish,Normal,Positive,Standard
2026-07-20 10:03:00,IWM,229.96,-0.15,Bullish,Normal,Positive,Standard
2026-07-20 10:06:00,IWM,229.87,-0.15,Bullish,Normal,Positive,Standard
2026-07-20 10:09:00,IWM,229.7,-0.15,Bullish,Normal,Positive,Standard
2026-07-20 10:12:00,IWM,229.71,-0.15,Bullish,Normal,Positive,Standard
2026-07-20 10:15:00,IWM,229.77,-0.15,Bullish,Normal,Positive,Standard
2026-07-20 10:18:00,IWM,229.72,-0.15,Bullish,Normal,Positive,Standard
2026-07-20 10:21:00,IWM,229.7,-0.15,Bullish,Normal,Positive,Standard
2026-07-20 10:24:00,IWM,229.65,-0.15,Bullish,Normal,Positive,Standard
2026-07-20 10:27:00,IWM,229.49,-0.15,Bullish,Normal,Positive,Standard
2026-07-20 09:30:00,VIX,15.8,-2.1,Bullish,Normal,Positive,Standard
2026-07-20 09:33:00,VIX,15.77,-2.1,Bullish,Normal,Positive,Standard
2026-07-20 09:36:00,VIX,15.77,-2.1,Bullish,Normal,Positive,Standard
2026-07-20 09:39:00,VIX,15.74,-2.1,Bullish,Normal,Positive,Standard
2026-07-20 09:42:00,VIX,15.73,-2.1,Bullish,Normal,Positive,Standard
2026-07-20 09:45:00,VIX,15.71,-2.1,Bullish,Normal,Positive,Standard
2026-07-20 09:48:00,VIX,15.7,-2.1,Bullish,Normal,Positive,Standard
2026-07-20 09:51:00,VIX,15.67,-2.1,Bullish,Normal,Positive,Standard
2026-07-20 09:54:00,VIX,15.65,-2.1,Bullish,Normal,Positive,Standard
2026-07-20 09:57:00,VIX,15.64,-2.1,Bullish,Normal,Positive,Standard
2026-07-20 10:00:00,VIX,15.61,-2.1,Bullish,Normal,Positive,Standard
2026-07-20 10:03:00,VIX,15.6,-2.1,Bullish,Normal,Positive,Standard
2026-07-20 10:06:00,VIX,15.6,-2.1,Bullish,Normal,Positive,Standard
2026-07-20 10:09:00,VIX,15.57,-2.1,Bullish,Normal,Positive,Standard
2026-07-20 10:12:00,VIX,15.56,-2.1,Bullish,Normal,Positive,Standard
2026-07-20 10:15:00,VIX,15.53,-2.1,Bullish,Normal,Positive,Standard
2026-07-20 10:18:00,VIX,15.52,-2.1,Bullish,Normal,Positive,Standard
2026-07-20 10:21:00,VIX,15.5,-2.1,Bullish,Normal,Positive,Standard
2026-07-20 10:24:00,VIX,15.49,-2.1,Bullish,Normal,Positive,Standard
2026-07-20 10:27:00,VIX,15.47,-2.1,Bullish,Normal,Positive,Standard
