date,weekday,ticker,setup,entry,exit,stop,shares,pnl,r_multiple,win,execution_grade,emotion,time_bucket,mistake,lesson
2026-07-01,Tuesday,SPDR,First Pullback,9.1,9.55,8.92,250,112.5,2.5,True,A,Calm,9:30-10:00,None,Waited for confirmation.
2026-07-02,Wednesday,NOVA,First Pullback,6.02,5.84,5.83,260,-46.8,-0.95,False,A,Calm,9:30-10:00,None,Good setup and proper loss.
2026-07-03,Thursday,MTRX,VWAP Reclaim,13.4,13.88,13.18,200,96.0,2.18,True,B,Hesitant,10:00-11:00,Late entry,Entered slightly late.
2026-07-06,Monday,BLZE,Premarket High Break,3.88,3.7,3.72,400,-72.0,-1.12,False,C,FOMO,9:30-10:00,Chased,Bought extended price.
2026-07-07,Tuesday,SPDR,First Pullback,8.74,9.03,8.6,300,87.0,2.07,True,A,Confident,9:30-10:00,None,Clean pullback.
2026-07-08,Wednesday,QNTM,First Pullback,17.6,17.48,17.42,180,-21.6,-0.67,False,B,Tired,11:00+,Low quality,Traded outside best window.
2026-07-09,Thursday,NOVA,First Pullback,5.88,6.21,5.72,260,85.8,2.06,True,A,Calm,9:30-10:00,None,Strong patience.
2026-07-10,Friday,MTRX,First Pullback,12.96,13.28,12.8,240,76.8,2.0,True,A,Calm,10:00-11:00,None,Followed checklist.
2026-07-13,Monday,BLZE,First Pullback,3.42,3.31,3.32,500,-55.0,-1.1,False,B,FOMO,9:30-10:00,Oversized,Too large for quality.
2026-07-14,Tuesday,SPDR,VWAP Reclaim,9.22,9.61,9.04,220,85.8,2.17,True,A,Confident,10:00-11:00,None,Waited for reclaim.
2026-07-15,Wednesday,NOVA,Premarket High Break,6.4,6.58,6.28,280,50.4,1.5,True,B,Calm,9:30-10:00,Early partial,Took profits early.
2026-07-16,Thursday,QNTM,First Pullback,18.1,17.92,17.91,170,-30.6,-0.95,False,A,Calm,10:00-11:00,None,Acceptable planned loss.
